"ID","Last Name","First Name","Grade Level","Enrollment Year","Graduation Year","Courses as a List","Course Grades as a List","Future Decision","SAT","ACT","Counselor Name"
"100010","Badawi","Ramy","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""AP Chinese IV Language and Culture""]","[87, 82, 83, 83, 85, 89]","2 year college","1314","30","Priya Patel"
"100011","Sanchez","Diego","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""Chinese III KAP"", ""Photojournalism (sem)""]","[81, 83, 90, 92, 86, 92]","4 year college","","31","Daniel Kim"
"100012","Torres","Drew","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Lifetime Nutrition & Wellness (sem .5 credit)""]","[76, 80, 81, 91, 78, 82]","4 year college","","20","Melissa Johnson"
"100013","Singh","Ananya","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Health Science Theory"", ""Fashion Design I""]","[78, 69, 73, 56, 59, 58]","4 year college","976","20","Robert Nguyen"
"100014","Iyer","Raj","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Choir IV"", ""American Sign Language III""]","[92, 92, 89, 98, 94, 88, 90]","4 year college","1450","33","Emily Garcia"
"100015","Reed","Avery","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Chinese III KAP""]","[83, 81, 79, 79, 72, 72]","4 year college","955","16","Michael Thompson"
"100016","Baker","Darius","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Chinese II"", ""Peer Assistance Leadership I (application required)""]","[86, 83, 94, 92, 99, 94]","4 year college","","35","Sarah Martinez"
"100017","Malik","Hana","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Lifetime Nutrition & Wellness (sem .5 credit)"", ""Advanced Animal Science (Science credit)"", ""Orchestra I""]","[74, 81, 89, 80, 89, 73, 87]","4 year college","1077","18","James Walker"
"100018","Gutierrez","Alejandro","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""Jazz Band II"", ""Debate III"", ""Financial Mathematics (Math credit)"", ""French II""]","[88, 86, 82, 82, 84, 96, 95, 88]","4 year college","1296","28","Priya Patel"
"100019","Mohammed","Fatima","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Jazz Band IV"", ""AP Computer Science A (Math & LOTE credit)"", ""Engineering Design & Problem Solving (Science credit)""]","[85, 95, 94, 90, 87, 90, 94, 90]","4 year college","1246","","Daniel Kim"
"100020","Robinson","Jasmine","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Audio/Video Production I"", ""Social Media Marketing (sem)""]","[95, 82, 94, 87, 82, 93, 91]","4 year college","1314","28","Melissa Johnson"
"100021","Rao","Ishaan","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Sports & Entertainment Marketing II (sem)""]","[76, 81, 93, 94, 83, 90]","4 year college","1208","30","Robert Nguyen"
"100022","Yamamoto","Jia","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Spanish II""]","[100, 88, 86, 89, 95, 98]","4 year college","","34","Emily Garcia"
"100023","Bennett","Logan","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""Engineering Design & Presentation I"", ""Interpersonal Studies (sem .5 credit)""]","[80, 90, 74, 70, 86, 90]","vocational school","994","","Michael Thompson"
"100024","Brooks","Kennedy","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Track-Girls"", ""Floral Design (Fine Art Credit)"", ""Counseling & Mental Health""]","[72, 85, 87, 75, 85, 83, 92, 86]","4 year college","1142","","Sarah Martinez"
"100025","Karimi","Lina","12","2023","2027","[""English IV"", ""Statistics"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Human Growth & Development"", ""Oral Interpretation I""]","[74, 80, 86, 79, 86, 90, 91]","vocational school","1092","","James Walker"
"100026","Perez","Mateo","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Jazz Band II"", ""Drawing I"", ""Principles of Applied Engineering"", ""Dance II""]","[90, 81, 88, 91, 91, 93, 97, 93]","4 year college","1381","","Priya Patel"
"100027","Nair","Shreya","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""AP Chinese IV Language and Culture""]","[80, 90, 88, 91, 81, 72]","4 year college","","","Daniel Kim"
"100028","Ibrahim","Ramy","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Architectural Design II"", ""Theater Arts III""]","[83, 83, 82, 78, 73, 69]","workforce","","16","Melissa Johnson"
"100029","Park","Daniel","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Drawing I""]","[91, 91, 91, 79, 88, 84]","4 year college","1146","","Robert Nguyen"
"100030","Kato","Yuki","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""French II""]","[77, 89, 74, 77, 72, 85]","4 year college","1224","25","Emily Garcia"
"100031","Farouk","Dina","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Entrepreneurship""]","[82, 85, 81, 87, 96, 85]","4 year college","1255","29","Michael Thompson"
"100032","Park","Andrew","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""Band II"", ""Principles of Health Science""]","[80, 80, 61, 71, 72, 76]","vocational school","871","","Sarah Martinez"
"100033","Ali","Karim","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""PE Golf (Boys/Girls)"", ""Debate I"", ""Foundations of Business Communication and Technologies""]","[86, 74, 82, 80, 82, 75, 84]","4 year college","920","20","James Walker"
"100034","Clark","Charlotte","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Business Law for Real Estate"", ""Debate II"", ""Dollars and Sense (sem .5 credit)""]","[75, 72, 92, 91, 79, 77, 81]","workforce","1202","28","Priya Patel"
"100035","Brown","Oliver","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""Computer Science - Unity Game Development KAP"", ""Principles of Applied Engineering"", ""Art I""]","[80, 85, 84, 84, 90, 91, 91]","2 year college","1396","32","Daniel Kim"
"100036","Nakamura","Steven","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Anatomy & Physiology"", ""Sports & Entertainment Marketing I (sem)""]","[79, 85, 73, 82, 87, 84]","4 year college","1259","27","Melissa Johnson"
"100037","Clark","Ava","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Social Media Marketing (sem)""]","[80, 93, 77, 85, 93, 92]","4 year college","1373","","Robert Nguyen"
"100038","Siddiqui","Karim","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Spanish III KAP"", ""AP Computer Science A (Math & LOTE credit)""]","[95, 88, 93, 87, 93, 92, 83]","4 year college","1372","","Emily Garcia"
"100039","Richardson","Hayden","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""Journalism"", ""PE Swimming"", ""Lifetime Nutrition & Wellness (sem .5 credit)""]","[77, 74, 86, 83, 90, 81, 92]","vocational school","1273","","Michael Thompson"
"100040","Morales","Carlos","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""AWS-Amazon Web Services Advanced Cloud Computing KAP""]","[82, 93, 84, 86, 90, 85]","4 year college","1430","","Sarah Martinez"
"100041","Jackson","Logan","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Statistics GT"", ""AP Chemistry GT"", ""AP US History GT-11th grade only"", ""AP Seminar"", ""Leadworthy (sem)"", ""Oral Interpretation II"", ""Theater Arts I""]","[91, 94, 99, 94, 87, 98, 99, 98]","4 year college","1565","","James Walker"
"100042","Lewis","Evelyn","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Dance II""]","[74, 89, 77, 85, 85, 86]","workforce","","","Priya Patel"
"100043","Wilson","Isabella","12","2023","2027","[""AP English IV Literature & Composition GT"", ""Multivariable Calculus KAP/GT"", ""AP Environmental Science GT"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""Debate I"", ""Professional Communications (sem)"", ""Engineering Design & Problem Solving (Science credit)""]","[82, 91, 92, 94, 84, 95, 91, 93]","4 year college","","35","Daniel Kim"
"100044","Hassan","Khalid","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Band II"", ""American Sign Language II"", ""Orchestra I"", ""Entrepreneurship""]","[76, 85, 84, 86, 90, 86, 86, 90]","4 year college","1156","18","Melissa Johnson"
"100045","Menon","Divya","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Spanish III"", ""Animation I"", ""Debate III"", ""Principles of Business, Marketing, & Finance""]","[88, 89, 84, 82, 97, 94, 95, 85]","4 year college","1327","","Robert Nguyen"
"100046","Jackson","Destiny","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Sports & Entertainment Marketing I (sem)"", ""Jazz Band IV""]","[92, 92, 89, 78, 85, 86, 79]","2 year college","1152","","Emily Garcia"
"100047","Agarwal","Ishaan","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Chinese II""]","[80, 86, 75, 91, 95, 93]","vocational school","1316","25","Michael Thompson"
"100048","Walker","Simone","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Debate III""]","[83, 75, 80, 90, 79, 85]","4 year college","1238","25","Sarah Martinez"
"100049","Ahmed","Lina","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""AP Spanish IV Language and Culture""]","[90, 84, 74, 76, 92, 71]","4 year college","1030","","James Walker"
"100050","Torres","Miguel","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Jazz Band II"", ""Debate II"", ""Interpersonal Studies (sem .5 credit)""]","[87, 91, 86, 85, 80, 78, 88, 75]","2 year college","976","","Priya Patel"
"100051","Li","Eric","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Orchestra I"", ""Oral Interpretation II""]","[91, 75, 93, 80, 89, 93, 84]","2 year college","1121","25","Daniel Kim"
"100052","Richardson","Tyler","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Technical Theater I"", ""Chinese III KAP"", ""Counseling & Mental Health""]","[74, 85, 75, 79, 85, 84, 88]","4 year college","","21","Melissa Johnson"
"100053","Brooks","Morgan","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Precalculus GT"", ""AP Chemistry GT"", ""AP US History GT-11th grade only"", ""Choir IV"", ""AP Spanish IV Language and Culture"", ""AP Research"", ""Orchestra II""]","[99, 83, 88, 93, 98, 91, 94, 95]","4 year college","1435","34","Robert Nguyen"
"100054","Moore","Jasmine","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""Chinese I"", ""Engineering Design & Presentation I"", ""Journalism"", ""Interior Design I""]","[94, 86, 94, 81, 89, 100, 93, 99]","4 year college","","27","Emily Garcia"
"100055","Watanabe","Andrew","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""Foundations of Business Communication and Technologies"", ""Photojournalism (sem)"", ""Sports & Entertainment Marketing I (sem)""]","[87, 81, 82, 89, 94, 86, 84]","4 year college","1292","30","Michael Thompson"
"100056","Ali","Tariq","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Debate II""]","[78, 79, 76, 76, 74, 81]","vocational school","971","20","Sarah Martinez"
"100057","Carter","Aaliyah","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""AP Spanish V Literature and Culture""]","[91, 77, 86, 73, 85, 80]","2 year college","1232","","James Walker"
"100058","Ito","Ying","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Agricultural Mechanics and Metal Technologies"", ""Fashion Design I""]","[84, 81, 73, 74, 87, 72, 76]","vocational school","","20","Priya Patel"
"100059","Brown","Lucas","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Choir III"", ""PE Track-Girls"", ""Drawing I""]","[73, 84, 88, 83, 79, 84, 74]","4 year college","934","","Daniel Kim"
"100060","Ibrahim","Omar","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Foundations of Business Communication and Technologies"", ""Spanish I""]","[87, 78, 94, 88, 91, 85, 83]","4 year college","","31","Melissa Johnson"
"100061","Walker","Benjamin","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Financial Mathematics (Math credit)""]","[79, 90, 85, 77, 74, 88]","4 year college","954","20","Robert Nguyen"
"100062","Washington","Devon","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Technical Theater III"", ""Spanish III KAP"", ""Financial Mathematics (Math credit)"", ""Spanish II""]","[83, 89, 82, 92, 77, 79, 92, 77]","4 year college","952","19","Emily Garcia"
"100063","Perez","Valentina","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""AWS-Amazon Web Services Advanced Cloud Computing KAP"", ""French I"", ""Oral Interpretation III""]","[78, 90, 80, 89, 90, 90, 97, 97]","4 year college","1365","","Michael Thompson"
"100064","Yamamoto","Mina","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""Human Growth & Development"", ""Dollars and Sense (sem .5 credit)""]","[75, 78, 69, 61, 78, 70]","vocational school","810","17","Sarah Martinez"
"100065","Lee","Jia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Social Media Marketing (sem)""]","[73, 76, 74, 79, 92, 83]","4 year college","1210","","James Walker"
"100066","Wu","Jason","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""AP Research"", ""Spanish I"", ""Digital Arts and Animation (Fine Arts Credit)""]","[90, 95, 88, 92, 87, 99, 95]","4 year college","","","Priya Patel"
"100067","Rodriguez","Luis","12","2023","2027","[""English IV"", ""Statistics"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Medical Terminology"", ""Theater Arts III"", ""Health Science Theory""]","[90, 90, 90, 88, 73, 79, 84, 75]","4 year college","","","Daniel Kim"
"100068","Torres","Jesse","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Debate I"", ""Dollars and Sense (sem .5 credit)""]","[88, 85, 85, 90, 74, 76]","4 year college","1248","","Melissa Johnson"
"100069","Robinson","Jaylen","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Chinese II""]","[88, 73, 75, 88, 76, 81]","2 year college","","","Robert Nguyen"
"100070","Joshi","Aryan","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Debate III"", ""AP Spanish V Literature and Culture"", ""Business Law for Real Estate""]","[82, 83, 81, 79, 82, 82, 89, 91]","4 year college","1254","31","Emily Garcia"
"100071","Miller","Olivia","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Counseling & Mental Health"", ""PE Volleyball-Girls"", ""Debate III""]","[89, 75, 82, 79, 86, 75, 80]","4 year college","992","","Michael Thompson"
"100072","Yamamoto","Hiro","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Digital Arts and Animation (Fine Arts Credit)""]","[72, 70, 71, 65, 71, 56]","2 year college","","","Sarah Martinez"
"100073","Gutierrez","Gabriela","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""Spanish III KAP"", ""AP Computer Science A (Math & LOTE credit)"", ""Peer Assistance Leadership I (application required)"", ""Audio/Video Production I""]","[82, 80, 86, 92, 83, 89, 100, 96]","4 year college","","36","James Walker"
"100074","Jackson","William","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Sports & Entertainment Marketing II (sem)""]","[86, 83, 83, 81, 89, 96]","4 year college","","24","Priya Patel"
"100075","Harris","Marcus","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""AP Business with Personal Finance"", ""Health Education (sem)"", ""Oral Interpretation III"", ""Medical Terminology""]","[85, 90, 81, 92, 65, 80, 92, 90]","4 year college","946","14","Daniel Kim"
"100076","Rashid","Fadi","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Track-Boys""]","[85, 76, 85, 78, 85, 88]","2 year college","1161","18","Melissa Johnson"
"100077","Baker","Kenya","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Financial Mathematics (Math credit)"", ""Human Growth & Development"", ""Social Media Marketing (sem)""]","[78, 79, 80, 89, 81, 79, 81]","2 year college","1280","","Robert Nguyen"
"100078","Kapoor","Vikram","11","2024","2028","[""English III"", ""Statistics"", ""Environmental Systems"", ""US History-11th grade"", ""Agricultural Mechanics and Metal Technologies"", ""AP Business with Personal Finance"", ""AWS-Amazon Web Services Advanced Cloud Computing KAP""]","[90, 70, 79, 82, 88, 69, 71]","4 year college","1008","22","Emily Garcia"
"100079","Brown","Elijah","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Track-Boys""]","[87, 75, 76, 72, 89, 77]","2 year college","1163","21","Michael Thompson"
"100080","Joshi","Aarav","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Small Animal Management (sem .5 credit)"", ""PE Tennis""]","[81, 71, 61, 79, 65, 57]","workforce","","13","Sarah Martinez"
"100081","Bhatia","Shreya","12","2023","2027","[""English IV"", ""Statistics"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Soccer-Girls"", ""Spanish III KAP"", ""Professional Communications (sem)""]","[86, 92, 80, 77, 72, 82, 78, 77]","4 year college","1247","31","James Walker"
"100082","Brown","William","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Computer Science - Unity Game Development KAP"", ""Interior Design I""]","[87, 92, 87, 96, 88, 97, 95]","4 year college","1487","35","Priya Patel"
"100083","Abdullah","Sara","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Financial Mathematics (Math credit)"", ""Architectural Design I"", ""Social Media Marketing (sem)""]","[85, 76, 88, 92, 85, 83, 88]","4 year college","1176","","Daniel Kim"
"100084","Zhang","Ji-Young","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Lifetime Fitness & Wellness Pursuits (Boys)"", ""Social Media Marketing (sem)""]","[81, 72, 84, 80, 72, 78, 90]","4 year college","","17","Melissa Johnson"
"100085","Harris","Sophia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Tennis"", ""Lifetime Fitness & Wellness Pursuits (Girls)""]","[89, 76, 92, 83, 75, 77, 89]","vocational school","985","15","Robert Nguyen"
"100086","Reed","Maya","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""PE Track-Girls"", ""French III KAP""]","[78, 75, 73, 85, 91, 69]","4 year college","","","Emily Garcia"
"100087","Brown","Aaliyah","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""American Sign Language I"", ""American Sign Language II""]","[90, 91, 82, 79, 81, 76]","4 year college","1186","","Michael Thompson"
"100088","Robinson","Mason","12","2023","2027","[""English IV"", ""Accounting II"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Interpersonal Studies (sem .5 credit)""]","[81, 72, 66, 78, 69, 69]","workforce","","","Sarah Martinez"
"100089","Liu","Ying","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Sports & Entertainment Marketing II (sem)"", ""Chinese I"", ""French III KAP""]","[78, 82, 92, 74, 86, 83, 66]","4 year college","1017","","James Walker"
"100090","Jefferson","Tre","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Oral Interpretation II""]","[79, 87, 94, 82, 81, 92]","4 year college","1294","30","Priya Patel"
"100091","Rao","Aryan","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Interpersonal Studies (sem .5 credit)"", ""PE Soccer-Boys"", ""Band II""]","[64, 73, 74, 74, 79, 69, 65]","2 year college","","","Daniel Kim"
"100092","Rivera","Avery","11","2024","2028","[""English III"", ""Statistics"", ""Environmental Systems"", ""US History-11th grade"", ""Agricultural Mechanics and Metal Technologies"", ""Health Science Theory""]","[72, 85, 83, 73, 85, 88]","workforce","1138","","Melissa Johnson"
"100093","Torres","Alexis","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Floral Design (Fine Art Credit)"", ""Advanced Animal Science (Science credit)""]","[57, 75, 76, 77, 75, 71]","vocational school","804","","Robert Nguyen"
"100094","Clark","Emma","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""Jazz Band III"", ""Business Law for Real Estate""]","[79, 78, 91, 88, 80, 83]","4 year college","","","Emily Garcia"
